key,nl,en,es,zh,status,source,notes
admin.stock.quantity,Aantal (dosissen),Quantity (doses),Quantity (doses),Quantity (doses),REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.stock.quantityTarget,Nieuwe voorraad (dosissen),New stock (doses),New stock (doses),New stock (doses),REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.stock.reason,Reden,Reason,Reason,Reason,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.stock.title,Voorraadbeheer,Stock management,Stock management,Stock management,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
admin.stock.warningThreshold,Waarschuwing drempel,Warning threshold,Warning threshold,Warning threshold,REVIEW,admin,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.dashboard.roleProof.empty.description,De apotheker proof query gaf geen resultaat terug.,The pharmacist proof query returned no result.,The pharmacist proof query returned no result.,The pharmacist proof query returned no result.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.dashboard.title,Apotheker dashboard,Pharmacist dashboard,Pharmacist dashboard,Pharmacist dashboard,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.notifications.empty.description,Je hebt nog geen meldingen ontvangen.,You have not received any notifications yet.,You have not received any notifications yet.,You have not received any notifications yet.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.addLine,Regel toevoegen,Add line,Add line,Add line,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.addLines,Bestelregels toevoegen,Add order lines,Add order lines,Add order lines,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.closingTime,Sluitingstijd,Closing time,Closing time,Closing time,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.current,Huidige bestelling,Current order,Current order,Current order,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.dailyMaximum,Dagmaximum,Daily maximum,Daily maximum,Daily maximum,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.deliveryRules.description,Bestellingen vóór {time} worden vandaag geleverd. Bestellingen vanaf {time} worden morgen geleverd.,Orders before {time} are delivered today. Orders from {time} are delivered tomorrow.,Orders before {time} are delivered today. Orders from {time} are delivered tomorrow.,Orders before {time} are delivered today. Orders from {time} are delivered tomorrow.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.deliveryRules.title,Leveringsregels,Delivery rules,Delivery rules,Delivery rules,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.linesEmpty,Nog geen regels toegevoegd.,No lines added yet.,No lines added yet.,No lines added yet.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.linesRequired,Voeg minstens één bestelregel toe.,Add at least one order line.,Add at least one order line.,Add at least one order line.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.noRemainingToday,Geen resterende hoeveelheid vandaag,No remaining quantity today,No remaining quantity today,No remaining quantity today,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.orderedThisWeek,Besteld deze week,Ordered this week,Ordered this week,Ordered this week,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.place,Bestelling plaatsen,Place order,Place order,Place order,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.remaining,Resterend,Remaining,Remaining,Remaining,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.remainingToday,Resterend vandaag: {remaining},Remaining today: {remaining},Remaining today: {remaining},Remaining today: {remaining},REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.requestedQuantity,Gevraagde hoeveelheid,Requested quantity,Requested quantity,Requested quantity,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.reviewQuantities,"Daglimiet gewijzigd, controleer de hoeveelheid","Daily allowance changed, please review the quantity","Daily allowance changed, please review the quantity","Daily allowance changed, please review the quantity",REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.week,Week,Week,Week,Week,REVIEW,apotheker,Untranslated or loanword clone (nl=en); human translation recommended
apotheker.orders.create.weekWarning.description,Je hebt {percentage}% van het weekmaximum ({limit}) bereikt.,You have reached {percentage}% of the weekly maximum ({limit}).,You have reached {percentage}% of the weekly maximum ({limit}).,You have reached {percentage}% of the weekly maximum ({limit}).,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.create.weekWarning.title,Weekwaarschuwing,Week warning,Week warning,Week warning,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.orders.empty.description,Je hebt nog geen bestellingen geplaatst.,You have not placed any orders yet.,You have not placed any orders yet.,You have not placed any orders yet.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.vaccines.description,Overzicht van beschikbare vaccins voor bestellingen.,Overview of available vaccines for orders.,Overview of available vaccines for orders.,Overview of available vaccines for orders.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.vaccines.empty.description,Er zijn momenteel geen vaccins beschikbaar in de catalogus.,There are currently no vaccines available in the catalogue.,There are currently no vaccines available in the catalogue.,There are currently no vaccines available in the catalogue.,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
apotheker.vaccines.empty.title,Geen actieve vaccins,No active vaccines,No active vaccines,No active vaccines,REVIEW,apotheker,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
app.title,Vaccinatie-levering,Vaccinatie-levering,Vaccinatie-levering,Vaccinatie-levering,REVIEW,app,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.apotheker.intro,Vul je apotheekgegevens aan. Je rol is vastgelegd als APOTHEKER.,Complete your pharmacy details. Your role is fixed as pharmacist.,Complete your pharmacy details. Your role is fixed as pharmacist.,Complete your pharmacy details. Your role is fixed as pharmacist.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.apotheker.submit,Apotheekprofiel opslaan,Save pharmacy profile,Save pharmacy profile,Save pharmacy profile,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.bezorger.intro,Vul je bezorgergegevens aan om routes te kunnen ontvangen. Je rol is vastgelegd als BEZORGER.,Complete your courier details to receive routes. Your role is fixed as courier.,Complete your courier details to receive routes. Your role is fixed as courier.,Complete your courier details to receive routes. Your role is fixed as courier.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.bezorger.submit,Bezorgerprofiel opslaan,Save courier profile,Save courier profile,Save courier profile,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.notRequired,Geen rolspecifiek profiel vereist voor dit account.,No role-specific profile is required for this account.,No role-specific profile is required for this account.,No role-specific profile is required for this account.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.roleMismatch.useApotheker,Je rol is geen BEZORGER. Vul het apotheekprofiel in in plaats van het bezorgerprofiel.,Your role is not courier. Complete the pharmacy profile instead of the courier profile.,Your role is not courier. Complete the pharmacy profile instead of the courier profile.,Your role is not courier. Complete the pharmacy profile instead of the courier profile.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.roleMismatch.useBezorger,Je rol is geen APOTHEKER. Vul het bezorgerprofiel in in plaats van het apotheekprofiel.,Your role is not pharmacist. Complete the courier profile instead of the pharmacy profile.,Your role is not pharmacist. Complete the courier profile instead of the pharmacy profile.,Your role is not pharmacist. Complete the courier profile instead of the pharmacy profile.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.title,Profiel aanvullen,Complete profile,Complete profile,Complete profile,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.unregistered.intro,"Je Firebase-account bestaat, maar er is nog geen applicatieprofiel. Kies opnieuw je accounttype. Dit kan daarna niet meer worden gewijzigd.","Your Firebase account exists, but there is no application profile yet. Choose your account type again. This cannot be changed afterwards.","Your Firebase account exists, but there is no application profile yet. Choose your account type again. This cannot be changed afterwards.","Your Firebase account exists, but there is no application profile yet. Choose your account type again. This cannot be changed afterwards.",REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.unregistered.submit,Applicatieprofiel aanmaken,Create application profile,Create application profile,Create application profile,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.wrongRole.apotheker,Dit account is geen apotheker. Herlaad de pagina om het juiste formulier te zien.,This account is not a pharmacist. Reload the page to see the correct form.,This account is not a pharmacist. Reload the page to see the correct form.,This account is not a pharmacist. Reload the page to see the correct form.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.completeProfile.wrongRole.bezorger,Dit account is geen bezorger. Herlaad de pagina om het juiste formulier te zien.,This account is not a courier. Reload the page to see the correct form.,This account is not a courier. Reload the page to see the correct form.,This account is not a courier. Reload the page to see the correct form.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.emailInUse,Dit e-mailadres is al in gebruik.,This email address is already in use.,This email address is already in use.,This email address is already in use.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.invalidCredential,Onjuiste inloggegevens. Controleer e-mail en wachtwoord.,Incorrect credentials. Check email and password.,Incorrect credentials. Check email and password.,Incorrect credentials. Check email and password.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.network,Netwerkfout. Controleer je internetverbinding.,Network error. Check your internet connection.,Network error. Check your internet connection.,Network error. Check your internet connection.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.registerBypass,Registreren is niet beschikbaar in de Playwright auth-bypass modus.,Registration is not available in Playwright auth-bypass mode.,Registration is not available in Playwright auth-bypass mode.,Registration is not available in Playwright auth-bypass mode.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.resetBypass,Wachtwoord reset is niet beschikbaar in de Playwright auth-bypass modus.,Password reset is not available in Playwright auth-bypass mode.,Password reset is not available in Playwright auth-bypass mode.,Password reset is not available in Playwright auth-bypass mode.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.tooManyRequests,Te veel pogingen. Probeer het later opnieuw.,Too many attempts. Try again later.,Too many attempts. Try again later.,Too many attempts. Try again later.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.userDisabled,Dit account is uitgeschakeld.,This account has been disabled.,This account has been disabled.,This account has been disabled.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.userNotFound,Geen account gevonden voor dit e-mailadres.,No account found for this email address.,No account found for this email address.,No account found for this email address.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.error.weakPassword,Kies een wachtwoord van minstens 8 tekens.,Choose a password of at least 8 characters.,Choose a password of at least 8 characters.,Choose a password of at least 8 characters.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.forgotPassword.failed,Het versturen van de resetlink is mislukt.,Sending the reset link failed.,Sending the reset link failed.,Sending the reset link failed.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.forgotPassword.intro,Vul je e-mailadres in. Firebase stuurt een resetlink als het account bestaat.,Enter your email address. Firebase will send a reset link if the account exists.,Enter your email address. Firebase will send a reset link if the account exists.,Enter your email address. Firebase will send a reset link if the account exists.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.forgotPassword.submit,Resetlink versturen,Send reset link,Send reset link,Send reset link,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.forgotPassword.success,"Als dit e-mailadres bij ons bekend is, ontvang je binnenkort een resetlink.","If this email address is known to us, you will receive a reset link shortly.","If this email address is known to us, you will receive a reset link shortly.","If this email address is known to us, you will receive a reset link shortly.",REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.forgotPassword.title,Wachtwoord vergeten,Forgot password,Forgot password,Forgot password,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.login.failed,Inloggen is mislukt.,Sign-in failed.,Sign-in failed.,Sign-in failed.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.login.offline,Aanmelden is niet beschikbaar zonder internetverbinding.,Sign-in is not available without an internet connection.,Sign-in is not available without an internet connection.,Sign-in is not available without an internet connection.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.accountType,Accounttype,Account type,Account type,Account type,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.failed,Registratie is mislukt.,Registration failed.,Registration failed.,Registration failed.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.hasAccount,Al een account?,Already have an account?,Already have an account?,Already have an account?,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.intro,Maakt een Firebase-account en een applicatieprofiel aan. Kies expliciet of je als apotheker of bezorger registreert.,Creates a Firebase account and an application profile. Explicitly choose whether you register as a pharmacist or courier.,Creates a Firebase account and an application profile. Explicitly choose whether you register as a pharmacist or courier.,Creates a Firebase account and an application profile. Explicitly choose whether you register as a pharmacist or courier.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.profileWarning,"Je Firebase-account is aangemaakt, maar het applicatieprofiel kon niet worden opgeslagen. Log in en kies opnieuw je accounttype via “Profiel aanvullen”.","Your Firebase account was created, but the application profile could not be saved. Sign in and choose your account type again via “Complete profile”.","Your Firebase account was created, but the application profile could not be saved. Sign in and choose your account type again via “Complete profile”.","Your Firebase account was created, but the application profile could not be saved. Sign in and choose your account type again via “Complete profile”.",REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.role.apotheker.description,Ik plaats vaccinbestellingen voor een apotheek.,I place vaccine orders for a pharmacy.,I place vaccine orders for a pharmacy.,I place vaccine orders for a pharmacy.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.role.bezorger.description,Ik lever geplande vaccinbestellingen.,I deliver scheduled vaccine orders.,I deliver scheduled vaccine orders.,I deliver scheduled vaccine orders.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.submit,Account aanmaken,Create account,Create account,Create account,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.register.title,Registreren,Register,Register,Register,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
auth.session.expired,Uw sessie is verlopen. Log opnieuw in.,Your session has expired. Please sign in again.,Your session has expired. Please sign in again.,Your session has expired. Please sign in again.,REVIEW,auth,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.dashboard.goToProfile,Naar profiel,Go to profile,Go to profile,Go to profile,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.dashboard.roleProof.empty.description,De bezorger proof query gaf geen resultaat terug.,The courier proof query returned no result.,The courier proof query returned no result.,The courier proof query returned no result.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.dashboard.roleProof.empty.title,Geen proof,No proof,No proof,No proof,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.dashboard.roleProof.failed,Autorisatieproof mislukt,Authorization proof failed,Authorization proof failed,Authorization proof failed,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.dashboard.roleProof.fetchFailed,Kon autorisatieproof niet ophalen.,Could not fetch authorization proof.,Could not fetch authorization proof.,Could not fetch authorization proof.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.dashboard.roleProof.title,Rol-proof (Phase 5),Role proof (Phase 5),Role proof (Phase 5),Role proof (Phase 5),REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.dashboard.title,Bezorger dashboard,Courier dashboard,Courier dashboard,Courier dashboard,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.notifications.empty.description,Je hebt nog geen meldingen ontvangen.,You have not received any notifications yet.,You have not received any notifications yet.,You have not received any notifications yet.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.cancelReason,Reden: {reason},Reason: {reason},Reason: {reason},Reason: {reason},REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.complete,Route voltooien,Complete route,Complete route,Complete route,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.complete.confirm,Bevestig voltooien,Confirm complete,Confirm complete,Confirm complete,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.complete.description,Bevestig dat je alle stops van deze route hebt afgerond. Bestellingen worden hierdoor niet automatisch geleverd.,Confirm that you have finished all stops on this route. Orders are not automatically marked as delivered.,Confirm that you have finished all stops on this route. Orders are not automatically marked as delivered.,Confirm that you have finished all stops on this route. Orders are not automatically marked as delivered.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.complete.title,Route voltooien?,Complete route?,Complete route?,Complete route?,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.date,Datum {date},Date {date},Date {date},Date {date},REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.explanation,Richt de camera op de bezorg-QR van de apotheek. Cameratoegang wordt pas gevraagd wanneer je de scanner opent.,Point the camera at the pharmacy stop QR. Camera access is only requested when you open the scanner.,Point the camera at the pharmacy stop QR. Camera access is only requested when you open the scanner.,Point the camera at the pharmacy stop QR. Camera access is only requested when you open the scanner.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.insecureContext,Camerascan vereist een beveiligde verbinding (HTTPS of localhost).,Camera scanning requires a secure connection (HTTPS or localhost).,Camera scanning requires a secure connection (HTTPS or localhost).,Camera scanning requires a secure connection (HTTPS or localhost).,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.inUse,De camera is al in gebruik of kon niet worden gestart.,The camera is already in use or could not be started.,The camera is already in use or could not be started.,The camera is already in use or could not be started.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.noCamera,Er is geen camera gevonden op dit apparaat.,No camera was found on this device.,No camera was found on this device.,No camera was found on this device.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.permissionDenied,Cameratoegang is geweigerd. Sta camera toe en probeer opnieuw.,Camera permission was denied. Allow camera access and try again.,Camera permission was denied. Allow camera access and try again.,Camera permission was denied. Allow camera access and try again.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.previewDescription,Live cameravoorbeeld voor het scannen van de bezorg-QR-code,Live camera preview for scanning the delivery QR code,Live camera preview for scanning the delivery QR code,Live camera preview for scanning the delivery QR code,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.startFailed,De camera kon niet worden gestart. Probeer opnieuw.,Could not start the camera. Try again.,Could not start the camera. Try again.,Could not start the camera. Try again.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.camera.unsupported,Deze browser ondersteunt geen camera-QR-scanning.,This browser does not support camera QR scanning.,This browser does not support camera QR scanning.,This browser does not support camera QR scanning.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.checkAgain,Opnieuw controleren,Check again,Check again,Check again,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.confirmAction,Bevestig aflevering,Confirm delivery,Confirm delivery,Confirm delivery,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.description,Bevestig dat alle vermelde bestellingen bij deze apotheek zijn afgeleverd.,Confirm that all listed orders were delivered to this pharmacy.,Confirm that all listed orders were delivered to this pharmacy.,Confirm that all listed orders were delivered to this pharmacy.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.inProgress,Bevestiging wordt al verwerkt,Confirmation is already being processed,Confirmation is already being processed,Confirmation is already being processed,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.inProgressHint,Wacht even en controleer opnieuw. Start geen parallelle bevestiging.,"Wait a moment, then check again. Do not start another confirmation in parallel.","Wait a moment, then check again. Do not start another confirmation in parallel.","Wait a moment, then check again. Do not start another confirmation in parallel.",REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.markDelivered,Markeer als afgeleverd,Mark as delivered,Mark as delivered,Mark as delivered,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.submitting,Bevestigen…,Confirming…,Confirming…,Confirming…,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.confirm.title,Aflevering bevestigen?,Confirm delivery?,Confirm delivery?,Confirm delivery?,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.manual.label,Plak het gedecodeerde QR-token,Paste the decoded QR token,Paste the decoded QR token,Paste the decoded QR token,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.manual.placeholder,QR-token,QR token,QR token,QR token,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.manual.submit,Bezorging opzoeken,Look up delivery,Look up delivery,Look up delivery,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.manual.toggle,QR-code handmatig invoeren,Enter QR code manually,Enter QR code manually,Enter QR code manually,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.offline,Scannen vereist een internetverbinding. Maak opnieuw verbinding om een bezorg-QR te scannen.,Scanning requires an internet connection. Reconnect to scan a delivery QR.,Scanning requires an internet connection. Reconnect to scan a delivery QR.,Scanning requires an internet connection. Reconnect to scan a delivery QR.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.destination,Bestemming,Destination,Destination,Destination,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.orderRef,Bestelling {reference},Order {reference},Order {reference},Order {reference},REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.orders,Bestellingen,Orders,Orders,Orders,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.quantity,Aantal,Quantity,Quantity,Quantity,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.route,Route,Route,Route,Route,REVIEW,bezorger,Untranslated or loanword clone (nl=en); human translation recommended
bezorger.route.qr.preview.scanNotDelivered,Scannen alleen heeft het pakket niet afgeleverd. Controleer de gegevens en markeer daarna als afgeleverd.,"Scanning alone has not delivered the package. Review the details, then mark as delivered.","Scanning alone has not delivered the package. Review the details, then mark as delivered.","Scanning alone has not delivered the package. Review the details, then mark as delivered.",REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.summary,Samenvatting,Summary,Summary,Summary,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.title,Bezorgvoorbeeld,Delivery preview,Delivery preview,Delivery preview,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.totalLines,Aantal regels: {count},Line count: {count},Line count: {count},Line count: {count},REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.totalQuantity,Totaal aantal items: {quantity},Total item quantity: {quantity},Total item quantity: {quantity},Total item quantity: {quantity},REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.vaccineLines,Vaccinregels,Vaccine lines,Vaccine lines,Vaccine lines,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.preview.vaccineName,Vaccin,Vaccine,Vaccine,Vaccine,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.scan,Scan bezorg-QR,Scan delivery QR,Scan delivery QR,Scan delivery QR,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.status.detected,QR herkend,QR detected,QR detected,QR detected,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.status.loadingPreview,Bezorggegevens laden…,Loading delivery details…,Loading delivery details…,Loading delivery details…,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.status.preparing,Scanner voorbereiden…,Preparing scanner…,Preparing scanner…,Preparing scanner…,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.status.requestingPermission,Cameratoegang vragen…,Requesting camera permission…,Requesting camera permission…,Requesting camera permission…,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.status.scanning,Bezig met scannen van een bezorg-QR…,Scanning for a delivery QR…,Scanning for a delivery QR…,Scanning for a delivery QR…,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.success.description,{count} bestelling(en) afgeleverd om {deliveredAt}.,{count} order(s) delivered at {deliveredAt}.,{count} order(s) delivered at {deliveredAt}.,{count} order(s) delivered at {deliveredAt}.,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.qr.success.title,Aflevering bevestigd,Delivery confirmed,Delivery confirmed,Delivery confirmed,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
bezorger.route.start,Route starten,Start route,Start route,Start route,REVIEW,bezorger,"Untranslated or loanword clone (es=en, zh=en); human translation recommended"
